
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=300

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
LBFGS:   87 00:00:48     -220.302658        0.116389
LBFGS:   88 00:00:48     -220.305954        0.137723
LBFGS:   89 00:00:48     -220.308243        0.100462
LBFGS:   90 00:00:48     -220.310730        0.089464
       Step     Time          Energy          fmax
LBFGS:    0 17:33:19     -187.177475        9.276482
LBFGS:    1 17:33:19     -190.549393        4.120760
LBFGS:    2 17:33:19     -194.851639        5.110645
LBFGS:    3 17:33:19     -197.922729        6.887574
LBFGS:    4 17:33:19     -200.584259        6.452673
LBFGS:    5 17:33:19     -203.152069       10.540192
LBFGS:    6 17:33:19     -204.943085       10.335608
LBFGS:    7 17:33:19     -205.990295        3.878770
LBFGS:    8 17:33:19     -207.443573        2.118190
LBFGS:    9 17:33:19     -209.215271        6.639333
LBFGS:   10 17:33:19     -210.163696        2.944806
LBFGS:   11 17:33:19     -211.762711        3.307459
LBFGS:   12 17:33:19     -212.633209        2.951174
LBFGS:   13 17:33:19     -213.467422        2.430471
LBFGS:   14 17:33:20     -214.286041        2.146330
LBFGS:   15 17:33:20     -215.385162        2.066305
LBFGS:   16 17:33:20     -215.760620        1.410909
LBFGS:   17 17:33:20     -216.222565        2.711108
LBFGS:   18 17:33:20     -216.538696        1.482644
LBFGS:   19 17:33:20     -216.767807        1.062808
LBFGS:   20 17:33:20     -217.218887        1.656010
LBFGS:   21 17:33:20     -217.375946        1.047503
LBFGS:   22 17:33:20     -217.680145        0.857686
LBFGS:   23 17:33:20     -217.839935        1.064517
LBFGS:   24 17:33:20     -217.966125        1.181000
LBFGS:   25 17:33:20     -218.066956        0.737659
LBFGS:   26 17:33:20     -218.138626        0.562885
LBFGS:   27 17:33:20     -218.204361        0.591627
LBFGS:   28 17:33:20     -218.265961        0.679095
LBFGS:   29 17:33:20     -218.355148        0.755658
LBFGS:   30 17:33:20     -218.432693        0.719900
LBFGS:   31 17:33:20     -218.569519        0.794481
LBFGS:   32 17:33:21     -218.639328        0.658907
LBFGS:   33 17:33:21     -218.710083        0.487289
LBFGS:   34 17:33:21     -218.767792        0.572690
LBFGS:   35 17:33:21     -218.815918        0.571850
LBFGS:   36 17:33:21     -218.874268        0.630265
LBFGS:   37 17:33:21     -218.935303        0.637047
LBFGS:   38 17:33:21     -218.988434        0.570785
